PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GUYT_50160	GUYT_50160_SEL	GSM151299.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50162	GUYT_50162_SEL	GSM151300.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50163	GUYT_50163_SEL	GSM151301.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50166	GUYT_50166_SEL	GSM151302.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50168	GUYT_50168_SEL	GSM151303.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50169	GUYT_50169_SEL	GSM151304.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50172	GUYT_50172_SEL	GSM151305.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50173	GUYT_50173_SEL	GSM151306.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50174	GUYT_50174_SEL	GSM151307.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50176	GUYT_50176_SEL	GSM151308.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50177	GUYT_50177_SEL	GSM151309.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
GUYT_50178	GUYT_50178_SEL	GSM151310.CEL	U133 Plus 2.0	Loi_plier-mm_GSEA6532_GPL570_T.Rda	Plier Normalized
