PATIENT_ID	SAMPLE_ID	CEL_FILE	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
GSM177885	GSM177885	GSM177885.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177886	GSM177886	GSM177886.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177887	GSM177887	GSM177887.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177888	GSM177888	GSM177888.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177889	GSM177889	GSM177889.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177890	GSM177890	GSM177890.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177891	GSM177891	GSM177891.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177892	GSM177892	GSM177892.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177893	GSM177893	GSM177893.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177894	GSM177894	GSM177894.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177895	GSM177895	GSM177895.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177896	GSM177896	GSM177896.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177897	GSM177897	GSM177897.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177898	GSM177898	GSM177898.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177899	GSM177899	GSM177899.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177900	GSM177900	GSM177900.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177901	GSM177901	GSM177901.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177902	GSM177902	GSM177902.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177903	GSM177903	GSM177903.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177904	GSM177904	GSM177904.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177905	GSM177905	GSM177905.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177906	GSM177906	GSM177906.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177907	GSM177907	GSM177907.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177908	GSM177908	GSM177908.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177909	GSM177909	GSM177909.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177910	GSM177910	GSM177910.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177911	GSM177911	GSM177911.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177912	GSM177912	GSM177912.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177913	GSM177913	GSM177913.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177914	GSM177914	GSM177914.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177915	GSM177915	GSM177915.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177916	GSM177916	GSM177916.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177917	GSM177917	GSM177917.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177918	GSM177918	GSM177918.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177919	GSM177919	GSM177919.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177920	GSM177920	GSM177920.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177921	GSM177921	GSM177921.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177922	GSM177922	GSM177922.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177923	GSM177923	GSM177923.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177924	GSM177924	GSM177924.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177925	GSM177925	GSM177925.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177926	GSM177926	GSM177926.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177927	GSM177927	GSM177927.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177928	GSM177928	GSM177928.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177929	GSM177929	GSM177929.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177930	GSM177930	GSM177930.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177931	GSM177931	GSM177931.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177932	GSM177932	GSM177932.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
GSM177933	GSM177933	GSM177933.CEL	HG-U133A	desmedt7390_binary.Rda	RMA normalized
